Unnamed: 0,Released,Released.1,Title,Genre,Production Method,Creative Type,Production Budget,Domestic Box Office,International Box Office,Worldwide Box Office
37,"Nov 11, 2011",2011,Immortals,Action,Live Action,Fantasy,"$75,000,000","$83,504,017","$128,058,418","$211,562,435"
38,"Nov 16, 2011",2011,The Descendants,Drama,Live Action,Contemporary Fiction,"$20,000,000","$82,624,961","$92,882,839","$175,507,800"
39,"Jul 8, 2011",2011,Zookeeper,Romantic Comedy,Animation/Live Action,Fantasy,"$80,000,000","$80,360,866","$90,444,659","$170,805,525"
40,"Dec 25, 2011",2011,War Horse,Drama,Live Action,Contemporary Fiction,"$70,000,000","$79,883,359","$76,932,170","$156,815,529"
41,"Mar 18, 2011",2011,Limitless,Thriller/Suspense,Live Action,Science Fiction,"$27,000,000","$79,249,455","$76,315,464","$155,564,919"
42,"Nov 4, 2011",2011,Tower Heist,Comedy,Live Action,Contemporary Fiction,"$85,000,000","$78,046,570","$72,376,376","$150,422,946"
43,"Dec 21, 2011",2011,The Adventures of Tintin,Adventure,Digital Animation,Contemporary Fiction,"$130,000,000","$77,591,831","$296,402,120","$373,993,951"
44,"Sep 9, 2011",2011,Contagion,Thriller/Suspense,Live Action,Science Fiction,"$60,000,000","$75,658,097","$61,545,842","$137,203,939"
45,"Dec 23, 2011",2011,We Bought a Zoo,Drama,Live Action,Dramatization,"$50,000,000","$75,624,550","$43,104,523","$118,729,073"
46,"Sep 23, 2011",2011,Moneyball,Drama,Live Action,Dramatization,"$50,000,000","$75,605,492","$35,695,343","$111,300,835"
47,"Nov 11, 2011",2011,Jack and Jill,Comedy,Live Action,Contemporary Fiction,"$79,000,000","$74,158,157","$76,361,060","$150,519,217"
48,"Nov 23, 2011",2011,Hugo,Adventure,Animation/Live Action,Fantasy,"$180,000,000","$73,864,507","$106,183,277","$180,047,784"
49,"Feb 11, 2011",2011,Justin Bieber: Never Say Never,Concert/Performance,Live Action,Factual,"$13,000,000","$73,013,910","$26,020,215","$99,034,125"
50,"Sep 23, 2011",2011,Dolphin Tale,Drama,Live Action,Dramatization,"$37,000,000","$72,286,779","$23,781,945","$96,068,724"
51,"Jan 21, 2011",2011,No Strings Attached,Romantic Comedy,Live Action,Contemporary Fiction,"$25,000,000","$70,662,220","$78,565,858","$149,228,078"
52,"Jun 17, 2011",2011,Mr. Poppers's Penguins,Adventure,Live Action,Kids Fiction,"$55,000,000","$68,224,452","$121,400,000","$189,624,452"
53,"Nov 18, 2011",2011,Happy Feet Two,Adventure,Digital Animation,Kids Fiction,"$135,000,000","$64,006,466","$93,949,996","$157,956,462"
54,"Feb 18, 2011",2011,Unknown,Thriller/Suspense,Live Action,Contemporary Fiction,"$40,000,000","$63,686,397","$72,436,686","$136,123,083"
55,"Mar 4, 2011",2011,The Adjustment Bureau,Thriller/Suspense,Live Action,Science Fiction,"$50,200,000","$62,495,645","$64,435,680","$126,931,325"
56,"Apr 22, 2011",2011,Water for Elephants,Drama,Live Action,Historical Fiction,"$38,000,000","$58,709,717","$58,100,000","$116,809,717"
57,"Mar 18, 2011",2011,The Lincoln Lawyer,Thriller/Suspense,Live Action,Contemporary Fiction,"$40,000,000","$58,009,200","$29,135,886","$87,145,086"
58,"May 20, 2011",2011,Midnight in Paris,Romantic Comedy,Live Action,Fantasy,"$30,000,000","$56,816,662","$105,458,551","$162,275,213"
59,"Jul 22, 2011",2011,Friends with Benefits,Romantic Comedy,Live Action,Contemporary Fiction,"$35,000,000","$55,802,754","$90,793,137","$146,595,891"
60,"Feb 18, 2011",2011,I am Number Four,Adventure,Live Action,Science Fiction,"$50,000,000","$55,100,437","$91,094,722","$146,195,159"
61,"Apr 1, 2011",2011,Source Code,Thriller/Suspense,Live Action,Science Fiction,"$32,000,000","$54,712,227","$85,716,272","$140,428,499"
62,"Dec 9, 2011",2011,New Year’s Eve,Romantic Comedy,Live Action,Contemporary Fiction,"$26,000,000","$54,544,638","$92,305,635","$146,850,273"
63,"Apr 1, 2011",2011,Insidious,Horror,Live Action,Contemporary Fiction,"$1,500,000","$54,009,150","$45,861,736","$99,870,886"
64,"Apr 22, 2011",2011,Madea’s Big Happy Family,Comedy,Live Action,Contemporary Fiction,"$25,000,000","$53,345,287","$815,531","$54,160,818"
65,"Mar 25, 2011",2011,Diary of a Wimpy Kid: Rodrick Rules,Adventure,Live Action,Contemporary Fiction,"$18,000,000","$52,698,535","$20,996,659","$73,695,194"
66,"Oct 14, 2011",2011,Footloose,Drama,Live Action,Contemporary Fiction,"$24,000,000","$51,802,742","$11,187,092","$62,989,834"
67,"Jan 14, 2011",2011,The Dilemma,Comedy,Live Action,Contemporary Fiction,"$70,000,000","$48,475,290","$22,071,575","$70,546,865"
68,"Nov 23, 2011",2011,Arthur Christmas,Adventure,Digital Animation,Kids Fiction,"$85,000,000","$46,462,469","$101,403,096","$147,865,565"
69,"Feb 25, 2011",2011,Hall Pass,Comedy,Live Action,Contemporary Fiction,"$68,000,000","$45,060,734","$42,112,741","$87,173,475"
70,"Nov 25, 2011",2011,The Artist,Drama,Live Action,Historical Fiction,"$16,000,000","$44,667,095","$83,433,489","$128,100,584"
71,"Apr 8, 2011",2011,Soul Surfer,Drama,Live Action,Dramatization,"$18,000,000","$43,853,424","$3,282,065","$47,135,489"
72,"Aug 12, 2011",2011,Final Destination 5,Horror,Live Action,Contemporary Fiction,"$40,000,000","$42,587,643","$112,423,522","$155,011,165"
73,"Oct 7, 2011",2011,The Ides of March,Drama,Live Action,Contemporary Fiction,"$23,000,000","$40,962,534","$36,773,391","$77,735,925"
74,"Apr 8, 2011",2011,Hanna,Thriller/Suspense,Live Action,Contemporary Fiction,"$30,000,000","$40,259,119","$25,084,575","$65,343,694"
75,"May 6, 2011",2011,Something Borrowed,Romantic Comedy,Live Action,Contemporary Fiction,"$35,000,000","$39,046,489","$26,037,627","$65,084,116"
76,"Aug 19, 2011",2011,Spy Kids: All the Time in the World,Adventure,Live Action,Kids Fiction,"$27,000,000","$38,536,376","$42,144,807","$80,681,183"
77,"Apr 15, 2011",2011,Scream 4,Horror,Live Action,Contemporary Fiction,"$40,000,000","$38,180,928","$57,808,662","$95,989,590"
78,"Feb 18, 2011",2011,"Big Mommas: Like Father, Like Son",Comedy,Live Action,Contemporary Fiction,"$32,000,000","$37,915,414","$44,417,036","$82,332,450"
79,"Mar 11, 2011",2011,Red Riding Hood,Thriller/Suspense,Live Action,Fantasy,"$42,000,000","$37,662,162","$54,016,280","$91,678,442"
80,"Oct 28, 2011",2011,In Time,Thriller/Suspense,Live Action,Science Fiction,"$35,000,000","$37,553,932","$127,550,020","$165,103,952"
81,"Mar 18, 2011",2011,Paul,Comedy,Live Action,Science Fiction,"$40,000,000","$37,412,945","$63,749,161","$101,162,106"
82,"Nov 9, 2011",2011,J. Edgar,Drama,Live Action,Dramatization,"$35,000,000","$37,306,030","$47,300,000","$84,606,030"
83,"Feb 4, 2011",2011,The Roommate,Thriller/Suspense,Live Action,Contemporary Fiction,"$16,000,000","$37,300,107","$15,245,600","$52,545,707"
84,"May 6, 2011",2011,Jumping the Broom,Romantic Comedy,Live Action,Contemporary Fiction,"$7,000,000","$37,295,394","$863,207","$38,158,601"
85,"Aug 5, 2011",2011,The Change-Up,Comedy,Live Action,Contemporary Fiction,"$52,000,000","$37,243,418","$38,753,649","$75,997,067"
86,"Aug 12, 2011",2011,30 Minutes or Less,Black Comedy,Live Action,Contemporary Fiction,"$28,000,000","$37,053,924","$4,093,011","$41,146,935"
87,"Apr 8, 2011",2011,Born to be Wild 3D,Documentary,Live Action,Factual,$0,"$36,669,628","$10,530,926","$47,200,554"
88,"Aug 26, 2011",2011,Colombiana,Thriller/Suspense,Live Action,Contemporary Fiction,"$40,000,000","$36,665,854","$35,629,408","$72,295,262"
89,"Mar 25, 2011",2011,Sucker Punch,Action,Live Action,Fantasy,"$75,000,000","$36,392,502","$53,365,887","$89,758,389"
90,"Jul 1, 2011",2011,Larry Crowne,Romantic Comedy,Live Action,Contemporary Fiction,"$30,000,000","$35,608,245","$25,840,890","$61,449,135"
91,"Nov 4, 2011",2011,A Very Harold & Kumar 3D Christmas,Comedy,Live Action,Contemporary Fiction,"$20,000,000","$35,061,031","$1,204,714","$36,265,745"
92,"Sep 16, 2011",2011,Drive,Action,Live Action,Contemporary Fiction,"$15,000,000","$35,060,689","$46,297,241","$81,357,930"
93,"Sep 30, 2011",2011,Courageous,Drama,Live Action,Contemporary Fiction,"$2,000,000","$35,017,223","$663,663","$35,680,886"
94,"Sep 30, 2011",2011,50/50,Black Comedy,Live Action,Contemporary Fiction,"$8,000,000","$35,016,118","$6,318,617","$41,334,735"
95,"Jan 28, 2011",2011,The Rite,Horror,Live Action,Dramatization,"$37,000,000","$33,047,633","$64,096,354","$97,143,987"
96,"Apr 8, 2011",2011,Arthur,Romantic Comedy,Live Action,Contemporary Fiction,"$40,000,000","$33,035,397","$14,752,546","$47,787,943"
97,"Dec 25, 2011",2011,Extremely Loud and Incredibly Close,Drama,Live Action,Historical Fiction,"$40,000,000","$31,847,881","$23,400,000","$55,247,881"
98,"Aug 31, 2011",2011,The Debt,Thriller/Suspense,Live Action,Historical Fiction,"$20,000,000","$31,177,548","$15,426,506","$46,604,054"
99,"Dec 9, 2011",2011,The Sitter,Black Comedy,Live Action,Contemporary Fiction,"$25,000,000","$30,542,576","$8,206,828","$38,749,404"
100,"May 13, 2011",2011,Priest,Horror,Live Action,Fantasy,"$60,000,000","$29,136,626","$55,017,400","$84,154,026"
1,"May 4, 2012",2012,The Avengers,Action,Animation/Live Action,Super Hero,"$225,000,000","$623,357,910","$891,742,301","$1,515,100,211"
2,"Jul 20, 2012",2012,The Dark Knight Rises,Action,Live Action,Super Hero,"$230,000,000","$448,139,099","$634,089,008","$1,082,228,107"
3,"Mar 23, 2012",2012,The Hunger Games,Thriller/Suspense,Live Action,Science Fiction,"$80,000,000","$408,010,692","$269,912,687","$677,923,379"
4,"Nov 8, 2012",2012,Skyfall,Action,Live Action,Contemporary Fiction,"$200,000,000","$304,360,277","$806,166,704","$1,110,526,981"
5,"Dec 14, 2012",2012,The Hobbit: An Unexpected Journey,Adventure,Animation/Live Action,Fantasy,"$200,000,000","$303,003,568","$711,934,977","$1,014,938,545"
6,"Nov 16, 2012",2012,"The Twilight Saga: Breaking Dawn, Part 2",Drama,Live Action,Fantasy,"$136,200,000","$292,324,737","$537,400,000","$829,724,737"
7,"Jul 3, 2012",2012,The Amazing Spider-Man,Adventure,Live Action,Super Hero,"$220,000,000","$262,030,663","$495,859,604","$757,890,267"
8,"Jun 22, 2012",2012,Brave,Adventure,Digital Animation,Kids Fiction,"$185,000,000","$237,282,182","$317,324,350","$554,606,532"
9,"Jun 29, 2012",2012,Ted,Comedy,Animation/Live Action,Contemporary Fiction,"$50,000,000","$218,665,740","$337,350,887","$556,016,627"
10,"Jun 8, 2012",2012,Madagascar 3: Europe's Most Wanted,Adventure,Digital Animation,Kids Fiction,"$145,000,000","$216,391,482","$530,529,789","$746,921,271"
11,"Mar 2, 2012",2012,Dr. Seuss’ The Lorax,Adventure,Digital Animation,Kids Fiction,"$67,500,000","$214,030,500","$136,946,253","$350,976,753"
12,"Nov 2, 2012",2012,Wreck-It Ralph,Adventure,Digital Animation,Kids Fiction,"$165,000,000","$189,412,677","$307,098,844","$496,511,521"
13,"Nov 9, 2012",2012,Lincoln,Drama,Live Action,Dramatization,"$65,000,000","$182,207,973","$91,138,308","$273,346,281"
14,"May 25, 2012",2012,Men in Black 3,Adventure,Animation/Live Action,Science Fiction,"$215,000,000","$179,020,854","$475,192,631","$654,213,485"
15,"Dec 25, 2012",2012,Django Unchained,Western,Live Action,Historical Fiction,"$100,000,000","$162,805,434","$287,036,132","$449,841,566"
16,"Jul 13, 2012",2012,Ice Age: Continental Drift,Adventure,Digital Animation,Fantasy,"$95,000,000","$161,321,843","$718,443,294","$879,765,137"
17,"Jun 1, 2012",2012,Snow White and the Huntsman,Adventure,Live Action,Fantasy,"$170,000,000","$155,136,755","$245,884,991","$401,021,746"
18,"Dec 25, 2012",2012,Les Misérables,Musical,Live Action,Historical Fiction,"$65,000,000","$148,809,770","$286,602,824","$435,412,594"
19,"Sep 28, 2012",2012,Hotel Transylvania,Adventure,Digital Animation,Kids Fiction,"$85,000,000","$148,313,048","$229,806,421","$378,119,469"
20,"Oct 5, 2012",2012,Taken 2,Thriller/Suspense,Live Action,Contemporary Fiction,"$45,000,000","$139,854,287","$237,953,117","$377,807,404"
21,"Mar 16, 2012",2012,21 Jump Street,Comedy,Live Action,Contemporary Fiction,"$42,000,000","$138,447,667","$64,364,762","$202,812,429"
22,"Oct 12, 2012",2012,Argo,Thriller/Suspense,Live Action,Historical Fiction,"$44,500,000","$136,025,503","$91,115,254","$227,140,757"
23,"Nov 16, 2012",2012,Silver Linings Playbook,Drama,Live Action,Contemporary Fiction,"$21,000,000","$132,092,958","$104,319,495","$236,412,453"
24,"Jun 8, 2012",2012,Prometheus,Thriller/Suspense,Live Action,Science Fiction,"$125,000,000","$126,477,084","$275,971,181","$402,448,265"
25,"Feb 10, 2012",2012,Safe House,Thriller/Suspense,Live Action,Contemporary Fiction,"$85,000,000","$126,181,630","$81,702,771","$207,884,401"
26,"Feb 10, 2012",2012,The Vow,Drama,Live Action,Historical Fiction,"$30,000,000","$125,014,030","$72,604,130","$197,618,160"
27,"Nov 21, 2012",2012,Life of Pi,Drama,Live Action,Historical Fiction,"$120,000,000","$124,987,022","$494,323,346","$619,310,368"
28,"Jun 29, 2012",2012,Magic Mike,Comedy,Live Action,Contemporary Fiction,"$7,000,000","$113,721,571","$56,828,182","$170,549,753"
29,"Aug 10, 2012",2012,The Bourne Legacy,Thriller/Suspense,Live Action,Contemporary Fiction,"$125,000,000","$113,203,870","$167,152,050","$280,355,920"
30,"Feb 10, 2012",2012,Journey 2: The Mysterious Island,Adventure,Live Action,Fantasy,"$79,000,000","$103,860,290","$214,285,872","$318,146,162"
31,"Nov 21, 2012",2012,Rise of the Guardians,Adventure,Digital Animation,Kids Fiction,"$145,000,000","$103,412,758","$203,528,912","$306,941,670"
32,"Dec 19, 2012",2012,Zero Dark Thirty,Thriller/Suspense,Live Action,Dramatization,"$52,500,000","$95,720,716","$38,891,719","$134,612,435"
33,"Nov 2, 2012",2012,Flight,Drama,Live Action,Contemporary Fiction,"$31,000,000","$93,772,375","$66,786,063","$160,558,438"
34,"Apr 20, 2012",2012,Think Like a Man,Romantic Comedy,Live Action,Contemporary Fiction,"$12,000,000","$91,547,205","$21,826,559","$113,373,764"
35,"Aug 10, 2012",2012,The Campaign,Comedy,Live Action,Contemporary Fiction,"$95,000,000","$86,907,746","$18,000,000","$104,907,746"
36,"Aug 17, 2012",2012,The Expendables 2,Action,Live Action,Contemporary Fiction,"$100,000,000","$85,028,192","$226,951,064","$311,979,256"
37,"Mar 30, 2012",2012,Wrath of the Titans,Adventure,Animation/Live Action,Fantasy,"$150,000,000","$83,670,083","$221,600,000","$305,270,083"
38,"Dec 21, 2012",2012,Jack Reacher,Thriller/Suspense,Live Action,Contemporary Fiction,"$60,000,000","$80,070,736","$137,300,000","$217,370,736"
39,"May 11, 2012",2012,Dark Shadows,Black Comedy,Live Action,Contemporary Fiction,"$150,000,000","$79,727,149","$165,837,066","$245,564,215"
40,"Dec 25, 2012",2012,Parental Guidance,Adventure,Live Action,Contemporary Fiction,"$25,000,000","$77,267,296","$43,565,087","$120,832,383"
41,"Mar 9, 2012",2012,John Carter,Adventure,Live Action,Science Fiction,"$263,700,000","$73,058,679","$209,719,421","$282,778,100"
42,"Feb 24, 2012",2012,Act of Valor,Action,Live Action,Contemporary Fiction,"$12,000,000","$70,012,847","$12,484,188","$82,497,035"
43,"Dec 21, 2012",2012,This is 40,Comedy,Live Action,Contemporary Fiction,"$35,000,000","$67,544,505","$22,676,677","$90,221,182"
44,"Jan 13, 2012",2012,Contraband,Action,Live Action,Contemporary Fiction,"$25,000,000","$66,528,000","$31,878,855","$98,406,855"
45,"Sep 28, 2012",2012,Looper,Action,Live Action,Science Fiction,"$30,000,000","$66,486,205","$103,980,200","$170,466,405"
46,"Jun 29, 2012",2012,Tyler Perry's Madea's Witness Protection,Comedy,Live Action,Contemporary Fiction,"$20,000,000","$65,653,242","$1,297,645","$66,950,887"
47,"May 18, 2012",2012,Battleship,Action,Live Action,Contemporary Fiction,"$220,000,000","$65,233,400","$248,244,317","$313,477,717"
48,"Sep 28, 2012",2012,Pitch Perfect,Comedy,Live Action,Contemporary Fiction,"$17,000,000","$65,001,093","$51,043,254","$116,044,347"
49,"Mar 30, 2012",2012,Mirror Mirror,Adventure,Live Action,Fantasy,"$85,000,000","$64,935,167","$108,678,315","$173,613,482"
50,"Feb 3, 2012",2012,Chronicle,Thriller/Suspense,Live Action,Science Fiction,"$12,000,000","$64,575,175","$59,106,615","$123,681,790"
51,"Aug 8, 2012",2012,Hope Springs,Romantic Comedy,Live Action,Contemporary Fiction,"$30,000,000","$63,536,011","$69,549,284","$133,085,295"
52,"Jan 20, 2012",2012,Underworld: Awakening,Action,Live Action,Fantasy,"$70,000,000","$62,321,039","$98,058,891","$160,379,930"
53,"Apr 20, 2012",2012,The Lucky One,Drama,Live Action,Contemporary Fiction,"$25,000,000","$60,457,138","$36,176,695","$96,633,833"
54,"May 16, 2012",2012,The Dictator,Comedy,Live Action,Contemporary Fiction,"$65,000,000","$59,650,222","$120,498,675","$180,148,897"
55,"Aug 3, 2012",2012,Total Recall,Action,Live Action,Science Fiction,"$125,000,000","$58,877,969","$152,978,119","$211,856,088"
56,"Apr 6, 2012",2012,American Reunion,Comedy,Live Action,Contemporary Fiction,"$50,000,000","$56,758,835","$180,040,376","$236,799,211"
57,"Aug 17, 2012",2012,ParaNorman,Adventure,Stop-Motion Animation,Kids Fiction,"$60,000,000","$56,003,051","$52,116,611","$108,119,662"
58,"Feb 17, 2012",2012,This Means War,Romantic Comedy,Live Action,Contemporary Fiction,"$65,000,000","$54,760,791","$102,213,766","$156,974,557"
59,"Mar 2, 2012",2012,Project X,Comedy,Live Action,Contemporary Fiction,"$12,000,000","$54,731,865","$48,296,323","$103,028,188"
60,"Feb 3, 2012",2012,The Woman in Black,Horror,Live Action,Fantasy,"$15,000,000","$54,333,290","$74,622,608","$128,955,898"
61,"Oct 19, 2012",2012,Paranormal Activity 4,Horror,Live Action,Contemporary Fiction,"$5,000,000","$53,900,335","$88,917,657","$142,817,992"
62,"Jan 6, 2012",2012,The Devil Inside,Horror,Live Action,Historical Fiction,"$1,000,000","$53,262,945","$48,496,545","$101,759,490"
63,"Aug 15, 2012",2012,The Odd Life of Timothy Green,Drama,Live Action,Contemporary Fiction,"$40,000,000","$51,853,450","$3,395,709","$55,249,159"
64,"Feb 17, 2012",2012,Ghost Rider: Spirit of Vengeance,Action,Live Action,Contemporary Fiction,"$57,000,000","$51,774,002","$97,443,353","$149,217,355"
65,"Jan 27, 2012",2012,The Grey,Thriller/Suspense,Live Action,Contemporary Fiction,"$25,000,000","$51,580,136","$29,669,040","$81,249,176"
66,"Jan 20, 2012",2012,Red Tails,Action,Live Action,Historical Fiction,"$58,000,000","$49,876,377","$489,121","$50,365,498"
67,"Aug 31, 2012",2012,The Possession,Horror,Live Action,Fantasy,"$14,000,000","$49,130,588","$33,794,476","$82,925,064"
68,"Aug 3, 2012",2012,Diary of a Wimpy Kid: Dog Days,Adventure,Live Action,Kids Fiction,"$22,000,000","$49,008,662","$28,221,033","$77,229,695"
69,"Oct 12, 2012",2012,Sinister,Horror,Live Action,Contemporary Fiction,"$3,000,000","$48,086,903","$39,640,904","$87,727,807"
70,"Jul 6, 2012",2012,Savages,Thriller/Suspense,Live Action,Contemporary Fiction,"$45,000,000","$47,323,100","$35,190,390","$82,513,490"
71,"May 4, 2012",2012,The Best Exotic Marigold Hotel,Comedy,Live Action,Contemporary Fiction,"$10,000,000","$46,383,639","$88,256,141","$134,639,780"
72,"May 25, 2012",2012,Moonrise Kingdom,Drama,Live Action,Historical Fiction,"$16,000,000","$45,512,466","$23,335,980","$68,848,446"
73,"Oct 12, 2012",2012,Here Comes the Boom,Comedy,Live Action,Contemporary Fiction,"$42,000,000","$45,290,318","$27,948,940","$73,239,258"
74,"Nov 21, 2012",2012,Red Dawn,Action,Live Action,Contemporary Fiction,"$65,000,000","$44,806,783","$3,357,367","$48,164,150"
75,"Apr 13, 2012",2012,The Three Stooges,Comedy,Live Action,Contemporary Fiction,"$30,000,000","$44,338,224","$9,714,025","$54,052,249"
76,"Sep 14, 2012",2012,Resident Evil: Retribution,Horror,Live Action,Science Fiction,"$65,000,000","$42,345,531","$198,302,098","$240,647,629"
77,"Apr 13, 2012",2012,The Cabin in the Woods,Thriller/Suspense,Live Action,Fantasy,"$30,000,000","$42,073,277","$28,609,857","$70,683,134"
78,"May 18, 2012",2012,What to Expect When You're Expecting,Romantic Comedy,Live Action,Contemporary Fiction,"$37,500,000","$41,152,203","$47,320,813","$88,473,016"
79,"Sep 21, 2012",2012,End of Watch,Thriller/Suspense,Live Action,Contemporary Fiction,"$15,000,000","$41,003,371","$16,583,235","$57,586,606"
80,"Jun 15, 2012",2012,Rock of Ages,Musical,Live Action,Contemporary Fiction,"$70,000,000","$38,518,613","$22,513,319","$61,031,932"
81,"Jun 22, 2012",2012,Abraham Lincoln: Vampire Hunter,Horror,Live Action,Fantasy,"$67,500,000","$37,519,139","$99,970,591","$137,489,730"
82,"Aug 29, 2012",2012,Lawless,Drama,Live Action,Historical Fiction,"$26,000,000","$37,397,291","$16,996,396","$54,393,687"
83,"Dec 19, 2012",2012,The Guilt Trip,Comedy,Live Action,Contemporary Fiction,"$40,000,000","$37,134,215","$4,608,102","$41,742,317"
84,"Jun 15, 2012",2012,That’s My Boy,Comedy,Live Action,Contemporary Fiction,"$57,500,000","$36,931,089","$21,948,592","$58,879,681"
85,"Sep 21, 2012",2012,Trouble with the Curve,Drama,Live Action,Contemporary Fiction,"$60,000,000","$35,763,137","$12,055,776","$47,818,913"
86,"Oct 5, 2012",2012,Frankenweenie,Adventure,Stop-Motion Animation,Fantasy,"$39,000,000","$35,287,788","$45,863,000","$81,150,788"
87,"Jul 27, 2012",2012,Step Up Revolution,Drama,Live Action,Contemporary Fiction,"$33,000,000","$35,074,677","$130,477,613","$165,552,290"
88,"Feb 24, 2012",2012,Tyler Perry's Good Deeds,Drama,Live Action,Contemporary Fiction,"$14,000,000","$35,025,791","$553,386","$35,579,177"
89,"Jul 27, 2012",2012,The Watch,Comedy,Live Action,Contemporary Fiction,"$55,000,000","$34,353,000","$32,777,045","$67,130,045"
90,"Jul 13, 2012",2012,2016: Obama’s America,Documentary,Live Action,Factual,"$2,500,000","$33,349,941",$0,"$33,349,941"
91,"Sep 21, 2012",2012,House at the End of the Street,Horror,Live Action,Contemporary Fiction,"$6,900,000","$31,611,916","$12,492,066","$44,103,982"
92,"Apr 27, 2012",2012,The Pirates! Band of Misfits,Adventure,Stop-Motion Animation,Kids Fiction,"$55,000,000","$31,051,126","$105,092,479","$136,143,605"
93,"Jan 13, 2012",2012,Joyful Noise,Musical,Live Action,Contemporary Fiction,"$27,500,000","$30,932,113","$225,801","$31,157,914"
94,"Jan 13, 2012",2012,The Iron Lady,Drama,Live Action,Dramatization,"$14,000,000","$29,959,436","$85,632,668","$115,592,104"
95,"Apr 20, 2012",2012,Chimpanzee,Documentary,Live Action,Factual,$0,"$28,965,459","$7,869,364","$36,834,823"
96,"Apr 27, 2012",2012,The Five-Year Engagement,Romantic Comedy,Live Action,Contemporary Fiction,"$30,000,000","$28,700,285","$32,923,534","$61,623,819"
97,"Oct 26, 2012",2012,Cloud Atlas,Drama,Live Action,Multiple Creative Types,"$102,000,000","$27,108,272","$103,564,882","$130,673,154"
98,"Jan 27, 2012",2012,One for the Money,Comedy,Live Action,Contemporary Fiction,"$42,000,000","$26,414,527","$12,963,173","$39,377,700"
99,"Oct 19, 2012",2012,Alex Cross,Thriller/Suspense,Live Action,Contemporary Fiction,"$35,000,000","$25,888,412","$9,538,347","$35,426,759"
100,"Jul 5, 2012",2012,Katy Perry: Part of Me,Concert/Performance,Live Action,Factual,"$12,000,000","$25,326,071","$7,374,368","$32,700,439"
1,"Nov 22, 2013",2013,The Hunger Games: Catching Fire,Adventure,Live Action,Science Fiction,"$130,000,000","$424,668,047","$440,139,967","$864,808,014"
2,"May 3, 2013",2013,Iron Man 3,Action,Animation/Live Action,Super Hero,"$200,000,000","$408,992,272","$806,400,000","$1,215,392,272"
3,"Nov 22, 2013",2013,Frozen,Musical,Digital Animation,Kids Fiction,"$150,000,000","$400,953,009","$876,652,720","$1,277,605,729"
4,"Jul 3, 2013",2013,Despicable Me 2,Adventure,Digital Animation,Kids Fiction,"$76,000,000","$368,065,385","$607,151,450","$975,216,835"
5,"Jun 14, 2013",2013,Man of Steel,Action,Live Action,Super Hero,"$225,000,000","$291,045,518","$376,954,000","$667,999,518"
6,"Oct 4, 2013",2013,Gravity,Thriller/Suspense,Live Action,Contemporary Fiction,"$110,000,000","$274,092,705","$410,565,026","$684,657,731"
7,"Jun 21, 2013",2013,Monsters University,Adventure,Digital Animation,Kids Fiction,"$200,000,000","$268,488,329","$474,967,481","$743,455,810"
8,"Dec 13, 2013",2013,The Hobbit: The Desolation of Smaug,Adventure,Animation/Live Action,Fantasy,"$250,000,000","$258,241,522","$701,116,914","$959,358,436"
9,"May 24, 2013",2013,Fast and Furious 6,Action,Live Action,Contemporary Fiction,"$160,000,000","$238,679,850","$550,620,594","$789,300,444"
10,"Mar 8, 2013",2013,Oz the Great and Powerful,Adventure,Animation/Live Action,Fantasy,"$200,000,000","$234,770,996","$255,588,055","$490,359,051"
11,"May 16, 2013",2013,Star Trek Into Darkness,Adventure,Live Action,Science Fiction,"$190,000,000","$228,778,661","$238,602,923","$467,381,584"
12,"Nov 8, 2013",2013,Thor: The Dark World,Action,Live Action,Super Hero,"$150,000,000","$206,362,140","$438,240,376","$644,602,516"
13,"Jun 21, 2013",2013,World War Z,Action,Live Action,Science Fiction,"$190,000,000","$202,706,711","$329,154,939","$531,861,650"
14,"Mar 22, 2013",2013,The Croods,Adventure,Digital Animation,Kids Fiction,"$135,000,000","$187,168,425","$385,900,000","$573,068,425"
15,"Jun 28, 2013",2013,The Heat,Comedy,Live Action,Contemporary Fiction,"$43,000,000","$159,581,587","$70,146,187","$229,727,774"
16,"Aug 7, 2013",2013,We’re the Millers,Comedy,Live Action,Contemporary Fiction,"$37,000,000","$150,394,119","$117,422,157","$267,816,276"
17,"Dec 13, 2013",2013,American Hustle,Black Comedy,Live Action,Dramatization,"$40,000,000","$150,098,456","$107,760,487","$257,858,943"
18,"May 10, 2013",2013,The Great Gatsby,Drama,Live Action,Historical Fiction,"$190,000,000","$144,840,419","$208,657,314","$353,497,733"
19,"Jul 19, 2013",2013,The Conjuring,Horror,Live Action,Fantasy,"$20,000,000","$137,400,141","$179,079,009","$316,479,150"
20,"Feb 8, 2013",2013,Identity Thief,Comedy,Live Action,Contemporary Fiction,"$35,000,000","$134,506,920","$40,854,658","$175,361,578"
21,"Jul 12, 2013",2013,Grown Ups 2,Comedy,Live Action,Contemporary Fiction,"$80,000,000","$133,668,525","$113,355,283","$247,023,808"
22,"Jul 26, 2013",2013,The Wolverine,Action,Live Action,Super Hero,"$115,000,000","$132,556,852","$283,900,000","$416,456,852"
23,"Dec 18, 2013",2013,Anchorman 2: The Legend Continues,Comedy,Live Action,Historical Fiction,"$50,000,000","$127,413,176","$44,833,047","$172,246,223"
24,"Dec 25, 2013",2013,Lone Survivor,Action,Live Action,Dramatization,"$40,000,000","$125,095,601","$24,709,031","$149,804,632"
